Countries,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Indonesia,269582880,271857970,273753191,275501339,277534122,279798049,282004306,284151182,286233232,288260632,290233414,292150100,294013829,295817463,297563755,299251173,300882677,302465687,303988726,305448276,306842611,308164809,309414550,310593657,311703932,312729314,313666981,314535140,315329358,316037840,316669001,317225213,317941689,318659782,319379498,320100839,320823810,321548413,322274653,323002533,323732057,324463228,325196052,325930530,326666667,327404467,328143933,328885069,329627879,330372367,331118536,331866391,332615935,333367171,334120105,334874739,335631077,336389123,337148882,337910357,338673551,339438469,340205115,340973492,341743605,342515457,343289052,344064395,344841489,345620338,346400946,347183317,347967455,348753364,349541048,350330511,351121757,351914791,352709615,353506235,354304653,355104875
Iran,86564208,87290193,87923432,88550570,89172767,89809781,90410659,90976221,91506852,92005102,92475363,92921017,93343543,93745796,94130484,94501761,94861188,95209476,95548456,95879769,96203069,96518596,96826532,97127583,97421494,97706793,97981000,98240506,98479032,98688811,98865529,99007204,99213731,99420689,99628078,99835900,100044156,100252846,100461971,100671533,100881532,101091968,101302844,101514160,101725916,101938114,102150755,102363839,102577368,102791343,103005763,103220631,103435947,103651712,103867928,104084594,104301712,104519284,104737309,104955788,105174724,105394116,105613966,105834275,106055043,106276272,106497962,106720114,106942730,107165810,107389356,107613368,107837847,108062795,108288211,108514098,108740457,108967287,109194590,109422368,109650621,109879350
Iraq,41563524,42556984,43533592,44496122,45504560,46523657,47549546,48583520,49623459,50671593,51730760,52800825,53879499,54966918,56062270,57162965,58268847,59376243,60484498,61591674,62695913,63798124,64897603,65990902,67078936,68160087,69232581,70303215,71367305,72422410,73472404,74515140,75619068,76739351,77876230,79029953,80200767,81388927,82594689,83818314,85060067,86320216,87599035,88896798,90213788,91550289,92906590,94282984,95679769,97097248,98535726,99995514,101476930,102980292,104505926,106054162,107625335,109219785,110837856,112479899,114146268,115837324,117553433,119294966,121062299,122855815,124675901,126522952,128397367,130299550,132229914,134188876,136176860,138194295,140241619,142319273,144427707,146567377,148738746,150942283,153178466,155447777
Ireland,4896021,4985382,5033164,5127170,5160824,5192718,5223315,5252842,5281249,5308863,5335918,5362497,5388905,5415069,5440981,5466745,5492147,5517423,5542519,5567044,5591253,5614938,5638030,5660344,5681798,5702357,5721673,5739904,5756934,5772581,5786707,5798905,5814476,5830089,5845744,5861441,5877179,5892961,5908784,5924650,5940559,5956511,5972505,5988542,6004622,6020746,6036912,6053123,6069376,6085674,6102015,6118400,6134829,6151302,6167819,6184381,6200987,6217637,6234333,6251073,6267858,6284688,6301564,6318485,6335451,6352463,6369520,6386623,6403773,6420968,6438209,6455497,6472831,6490212,6507639,6525113,6542634,6560202,6577818,6595480,6613190,6630948
Israel,8607922,9215100,9371400,9557500,9700276,9842946,9985793,10128141,10270000,10411544,10552566,10693918,10835206,10976998,11118877,11261507,11404920,11549222,11694507,11840869,11988577,12137268,12287222,12437721,12589234,12740736,12892303,13044179,13195819,13346336,13495244,13643700,13799155,13956381,14115399,14276228,14438890,14603406,14769795,14938081,15108284,15280427,15454530,15630618,15808711,15988834,16171010,16355260,16541611,16730084,16920705,17113498,17308488,17505699,17705157,17906888,18110917,18317271,18525977,18737060,18950548,19166469,19384850,19605719,19829104,20055035,20283541,20514649,20748391,20984796,21223895,21465718,21710296,21957661,22207845,22460879,22716796,22975629,23237411,23502176,23769958,24040790
Italy,59727936,59438851,59133173,58940425,58745744,58550424,58354460,58155248,57953484,57744640,57530648,57313372,57089744,56863476,56632844,56399200,56160900,55918524,55672096,55421236,55162716,54897968,54623860,54340304,54047384,53740724,53421936,53090228,52747044,52391464,52025356,51642724,51294056,50947743,50603768,50262115,49922768,49585713,49250934,48918415,48588140,48260096,47934266,47610637,47289192,46969917,46652798,46337821,46024969,45714230,45405589,45099032,44794544,44492112,44191723,43893361,43597013,43302667,43010307,42719922,42431497,42145019,41860476,41577854,41297139,41018320,40741384,40466317,40193107,39921742,39652209,39384496,39118591,38854480,38592153,38331597,38072800,37815750,37560436,37306845,37054967,36804789
Jamaica,2813776,2820436,2827695,2827377,2825544,2824738,2823199,2820904,2817930,2814231,2809707,2804356,2798160,2791030,2782912,2773843,2763714,2752526,2740318,2727072,2712812,2697534,2681237,2663963,2645711,2626505,2606421,2585443,2563640,2541082,2517798,2493823,2471894,2450158,2428613,2407257,2386089,2365108,2344310,2323696,2303263,2283010,2262934,2243036,2223312,2203762,2184383,2165175,2146136,2127264,2108558,2090017,2071639,2053422,2035366,2017468,1999728,1982144,1964714,1947438,1930313,1913339,1896515,1879838,1863308,1846923,1830683,1814585,1798628,1782813,1767136,1751597,1736194,1720927,1705795,1690795,1675927,1661190,1646583,1632104,1617752,1603527
Japan,125791680,126261000,125681593,125124989,124389416,123673288,122955456,122235224,121501952,120750216,119979544,119190912,118390264,117583352,116779488,115987112,115208528,114447848,113706248,112981856,112272808,111576120,110888720,110206144,109523368,108844336,108164096,107480600,106789224,106086696,105373384,104631976,103939515,103251638,102568312,101889509,101215198,100545350,99879935,99218923,98562287,97909996,97262022,96618336,95978910,95343716,94712725,94085911,93463245,92844700,92230248,91619863,91013517,90411184,89812837,89218451,88627998,88041452,87458789,86879981,86305005,85733833,85166441,84602805,84042898,83486698,82934178,82385314,81840083,81298461,80760423,80225946,79695006,79167579,78643644,78123175,77606151,77092549,76582346,76075520,75572047,75071907
Jordan,10698682,10928721,11148278,11285869,11337052,11384922,11442114,11515043,11604646,11704094,11813211,11933395,12065504,12208667,12359896,12517964,12683203,12853969,13027576,13200576,13371140,13538887,13703556,13864721,14022069,14175260,14323826,14468011,14608090,14744593,14877252,15005941,15146213,15287797,15430704,15574948,15720539,15867491,16015818,16165530,16316642,16469167,16623117,16778507,16935349,17093657,17253445,17414727,17577516,17741827,17907674,18075072,18244034,18414575,18586711,18760456,18935825,19112833,19291496,19471829,19653848,19837568,20023005,20210176,20399097,20589783,20782253,20976521,21172605,21370522,21570290,21771924,21975444,22180866,22388208,22597489,22808725,23021937,23237141,23454357,23673604,23894900
Kazakhstan,18754260,18755666,19000988,19621972,19841426,20079412,20311624,20537966,20758176,20973680,21186426,21397918,21607076,21816760,22026262,22237270,22448794,22662662,22878970,23097944,23319484,23544298,23772478,24002590,24235692,24469780,24703276,24937434,25170126,25401926,25633630,25863816,26102386,26343157,26586149,26831382,27078877,27328655,27580737,27835145,28091899,28351021,28612534,28876458,29142817,29411634,29682929,29956727,30233051,30511924,30793368,31077409,31364070,31653375,31945349,32240016,32537401,32837529,33140425,33446116,33754626,34065982,34380210,34697336,35017387,35340391,35666374,35995364,36327389,36662476,37000654,37341952,37686397,38034020,38384850,38738915,39096246,39456874,39820828,40188139,40558838,40932957
Kenya,50951452,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929863,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978,75866827,76961167,78039853,79104471,80156601,81195005,82219527,83230070,84227657,85211739,86260398,87321962,88396590,89484443,90585683,91700476,92828989,93971389,95127848,96298539,97483638,98683320,99897767,101127159,102371681,103631519,104906860,106197897,107504822,108827830,110167120,111522893,112895349,114284697,115691142,117114895,118556170,120015182,121492149,122987293,124500836,126033006,127584032,129154146,130743582,132352578,133981375,135630218,137299352,138989027,140699496,142431014,144183842,145958241,147754477,149572818,151413536,153276908,155163211,157072727
Kiribati,124252,126463,128874,131232,133515,135763,137984,140179,142356,144502,146625,148720,150776,152807,154809,156787,158756,160708,162654,164613,166589,168583,170595,172625,174658,176694,178730,180752,182748,184719,186665,188570,190602,192656,194732,196831,198952,201096,203263,205453,207667,209905,212167,214453,216764,219100,221461,223848,226260,228698,231163,233654,236172,238717,241289,243890,246518,249174,251860,254574,257317,260090,262893,265726,268589,271484,274409,277366,280355,283376,286430,289517,292637,295790,298978,302200,305456,308748,312075,315438,318837,322273
Kuwait,4441105,4360444,4250114,4268873,4310108,4349380,4387109,4423726,4459526,4494733,4529698,4564570,4599596,4635015,4670915,4707382,4744328,4781662,4819257,4856708,4893652,4929743,4964524,4997633,5028536,5056669,5081806,5103734,5122198,5137002,5148056,5155414,5170263,5185155,5200090,5215067,5230088,5245152,5260260,5275411,5290606,5305844,5321126,5336453,5351823,5367238,5382697,5398201,5413749,5429342,5444980,5460663,5476392,5492165,5507984,5523849,5539759,5555715,5571717,5587765,5603860,5620000,5636187,5652421,5668702,5685029,5701404,5717825,5734294,5750811,5767375,5783986,5800646,5817353,5834109,5850913,5867765,5884666,5901616,5918614,5935661,5952758
Kyrgyzstan,6323643,6579900,6773400,6974900,7085921,7197110,7306282,7413519,7519152,7623484,7726820,7829424,7932113,8034636,8137970,8241658,8346286,8451777,8558201,8665383,8773558,8881568,8989642,9097202,9203915,9309173,9413230,9515881,9617171,9716651,9814146,9909988,10012442,10115956,10220539,10326204,10432961,10540822,10649798,10759901,10871142,10983533,11097086,11211813,11327726,11444837,11563159,11682705,11803486,11925516,12048808,12173374,12299228,12426383,12554853,12684651,12815791,12948287,13082152,13217402,13354050,13492110,13631598,13772528,13914915,14058774,14204120,14350969,14499336,14649237,14800688,14953705,15108303,15264500,15422311,15581755,15742846,15905603,16070043,16236183,16404040,16573633
Laos,7212058,7319399,7425057,7529475,7633779,7736681,7838305,7938533,8037043,8133739,8228567,8321287,8411762,8500404,8587263,8672294,8755745,8837553,8917466,8995350,9071242,9145206,9217336,9287445,9355580,9421852,9486148,9548627,9608954,9666799,9722462,9775552,9834484,9893771,9953415,10013419,10073785,10134515,10195611,10257075,10318909,10381117,10443699,10506659,10569998,10633719,10697825,10762316,10827197,10892468,10958134,11024194,11090654,11157514,11224777,11292445,11360521,11429008,11497908,11567223,11636956,11707109,11777685,11848687,11920116,11991977,12064270,12136999,12210167,12283776,12357829,12432328,12507276,12582676,12658530,12734842,12811614,12888848,12966549,13044717,13123357,13202471
Latvia,1916552,1900449,1884490,1879383,1858606,1838631,1819443,1800983,1783192,1765833,1748838,1732130,1715717,1699621,1683871,1668516,1653600,1639119,1625012,1611100,1597451,1583989,1570734,1557698,1544865,1532315,1520040,1507933,1495995,1484203,1472487,1460559,1448945,1437423,1425994,1414654,1403406,1392246,1381175,1370193,1359297,1348489,1337766,1327128,1316575,1306106,1295721,1285417,1275196,1265056,1254997,1245018,1235118,1225296,1215553,1205887,1196298,1186786,1177349,1167987,1158699,1149486,1140346,1131278,1122282,1113358,1104505,1095722,1087010,1078366,1069791,1061284,1052845,1044474,1036168,1027929,1019755,1011646,1003602,995622,987705,979851
Lebanon,5781912,5662923,5592631,5489739,5353930,5219044,5097604,4988145,4897736,4824807,4763208,4714240,4678450,4654951,4641685,4637432,4642097,4654791,4673485,4695407,4718509,4742163,4766088,4790049,4813633,4836471,4858147,4878160,4896315,4912361,4926083,4937579,4953621,4969714,4985860,5002059,5018310,5034614,5050970,5067380,5083844,5100360,5116931,5133555,5150233,5166966,5183753,5200594,5217490,5234441,5251447,5268508,5285625,5302797,5320026,5337310,5354650,5372047,5389500,5407009,5424576,5442200,5459881,5477619,5495415,5513269,5531181,5549151,5567180,5585267,5603413,5621618,5639882,5658205,5676588,5695030,5713533,5732095,5750718,5769401,5788145,5806950
Lesotho,2225710,2254100,2281454,2305825,2330318,2356083,2381381,2406247,2430720,2454823,2478552,2501946,2525055,2547869,2570416,2592633,2614644,2636414,2657782,2678823,2699646,2720180,2740271,2759909,2779040,2797647,2815731,2833338,2850533,2867124,2883056,2898369,2915185,2932099,2949111,2966222,2983432,3000742,3018153,3035664,3053277,3070992,3088810,3106731,3124757,3142887,3161122,3179463,3197910,3216464,3235126,3253896,3272776,3291764,3310863,3330073,3349394,3368827,3388373,3408033,3427806,3447694,3467698,3487818,3508054,3528408,3548880,3569470,3590180,3611011,3631962,3653035,3674230,3695548,3716989,3738555,3760246,3782063,3804007,3826078,3848277,3870605
Liberia,4985290,5087584,5193416,5302681,5418377,5536949,5657229,5779303,5902858,6028036,6154516,6282074,6410627,6539863,6670120,6800916,6932309,7064345,7196805,7329593,7462143,7594350,7726261,7857657,7988703,8119671,8249922,8379107,8507779,8635984,8763579,8890700,9024708,9160737,9298815,9438975,9581248,9725665,9872258,10021062,10172108,10325431,10481065,10639045,10799406,10962184,11127415,11295137,11465388,11638204,11813625,11991690,12172440,12355913,12542153,12731199,12923095,13117883,13315607,13516311,13720041,13926842,14136759,14349841,14566134,14785688,15008551,15234773,15464404,15697497,15934104,16174277,16418069,16665537,16916734,17171718,17430545,17693274,17959962,18230671,18505459,18784390
Libya,6569085,6653942,6735277,6812341,6888388,6964197,7038380,7111388,7183416,7254484,7324828,7394813,7464206,7532997,7601269,7668904,7736015,7802411,7867801,7931947,7994743,8055989,8115476,8173019,8228242,8281052,8331094,8378414,8423078,8464938,8503951,8539976,8582377,8624988,8667811,8710846,8754095,8797559,8841239,8885135,8929250,8973583,9018136,9062911,9107908,9153129,9198574,9244244,9290142,9336267,9382621,9429206,9476021,9523070,9570351,9617868,9665620,9713610,9761838,9810305,9859013,9907962,9957155,10006592,10056274,10106203,10156380,10206807,10257483,10308411,10359592,10411027,10462717,10514665,10566869,10619334,10672058,10725045,10778294,10831808,10885588,10939634
Lithuania,2849083,2794885,2800839,2831639,2803946,2777843,2753232,2730034,2707838,2686218,2665084,2644240,2623573,2602941,2582413,2561983,2541718,2521645,2501687,2481736,2461854,2442029,2422268,2402653,2383395,2364521,2346081,2328044,2310320,2292917,2275787,2258486,2241363,2224371,2207507,2190771,2174162,2157678,2141320,2125086,2108974,2092985,2077118,2061370,2045742,2030232,2014840,1999565,1984405,1969361,1954430,1939613,1924908,1910314,1895831,1881458,1867194,1853038,1838989,1825047,1811210,1797479,1783851,1770327,1756906,1743586,1730367,1717248,1704229,1691309,1678486,1665761,1653132,1640599,1628161,1615817,1603567,1591409,1579344,1567370,1555488,1543695
Luxembourg,619981,630419,640064,653103,659904,666440,672673,678632,684367,689978,695478,700852,706073,711125,716031,720803,725433,729926,734272,738492,742599,746583,750434,754195,757845,761361,764759,768056,771255,774345,777349,780190,783313,786449,789598,792759,795932,799119,802318,805530,808755,811992,815243,818507,821783,825073,828376,831693,835022,838365,841721,845091,848474,851871,855281,858705,862143,865594,869060,872539,876032,879539,883060,886595,890145,893708,897286,900878,904485,908106,911741,915391,919056,922735,926429,930138,933861,937600,941353,945122,948906,952704
Madagascar,27533134,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382789,37165274,37952413,38742689,39534122,40326745,41120987,41918817,42720774,43524300,44328120,45131260,45935275,46740497,47546606,48355513,49165426,49974855,50784139,51592965,52442656,53306341,54184250,55076617,55983681,56905684,57842871,58795492,59763803,60748061,61748528,62765473,63799165,64849882,65917903,67003514,68107003,69228666,70368802,71527715,72705714,73903114,75120234,76357398,77614938,78893189,80192491,81513191,82855642,84220203,85607236,87017113,88450209,89906906,91387595,92892669,94422530,95977587,97558254,99164954,100798114,102458171,104145568,105860755,107604189,109376336,111177669,113008669,114869823,116761629
Malawi,18867340,19377061,19889742,20405317,20931751,21475962,22033992,22601151,23176271,23758548,24347875,24944243,25544608,26148406,26755508,27364192,27975136,28589069,29206646,29825538,30443121,31059544,31674805,32289974,32904194,33515465,34126156,34735673,35344273,35952327,36557676,37159300,37797542,38446746,39107100,39778797,40462031,41157000,41863905,42582952,43314350,44058309,44815047,45584783,46367739,47164143,47974227,48798224,49636373,50488919,51356108,52238192,53135426,54048071,54976391,55920656,56881139,57858120,58851881,59862711,60890902,61936754,63000569,64082656,65183328,66302906,67441713,68600080,69778343,70976844,72195930,73435955,74697278,75980265,77285289,78612728,79962966,81336396,82733416,84154431,85599853,87070101
Malaysia,32804024,33199993,33573874,33938221,34308525,34671895,35028030,35376942,35718158,36050662,36373834,36687569,36992784,37288666,37573537,37847164,38109999,38362771,38605692,38838995,39063349,39279459,39487920,39688220,39880624,40066400,40244776,40415981,40580199,40737582,40888501,41032433,41191805,41351795,41512408,41673644,41835506,41997997,42161119,42324874,42489266,42654296,42819967,42986282,43153242,43320851,43489111,43658025,43827594,43997823,44168712,44340265,44512485,44685373,44858933,45033167,45208078,45383668,45559940,45736897,45914541,46092875,46271902,46451624,46632044,46813165,46994989,47177519,47360759,47544710,47729376,47914759,48100862,48287687,48475239,48663519,48852530,49042275,49232758,49423980,49615945,49808655
Maldives,504518,514438,521457,523787,521021,517887,515223,513362,512284,511718,511725,512683,514714,517587,520779,523920,526981,529986,532965,535943,538923,541917,544920,547913,550899,553876,556821,559692,562457,565094,567593,569909,572563,575230,577909,580601,583305,586021,588751,591493,594247,597015,599796,602589,605396,608215,611048,613894,616753,619625,622511,625410,628323,631250,634190,637143,640111,643092,646087,649096,652119,655156,658208,661273,664353,667447,670556,673679,676816,679969,683135,686317,689513,692725,695951,699192,702449,705720,709007,712309,715627,718960
Mali,20567430,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790,38640264,39601808,40569803,41544497,42526196,43508588,44489503,45473455,46457488,47439802,48488655,49560696,50656440,51776410,52921141,54091181,55287090,56509439,57758814,59035811,60341041,61675128,63038712,64432443,65856988,67313028,68801260,70322396,71877163,73466304,75090580,76750767,78447660,80182069,81954824,83766774,85618784,87511741,89446549,91424134,93445442,95511439,97623113,99781475,101987556,104242412,106547121,108902785,111310530,113771509,116286898,118857899,121485744,124171687,126917015,129723039,132591102,135522576,138518862,141581393
Malta,503646,515332,518536,531113,532616,533982,535213,536287,537186,537909,538418,538721,538812,538695,538382,537882,537215,536385,535423,534343,533168,531902,530567,529188,527767,526351,524952,523567,522197,520843,519520,518136,516783,515434,514089,512747,511408,510074,508742,507414,506089,504768,503451,502136,500826,499518,498214,496914,495617,494323,493033,491746,490462,489182,487905,486631,485361,484094,482830,481570,480313,479059,477808,476561,475317,474076,472839,471604,470373,469145,467921,466699,465481,464266,463054,461845,460640,459437,458238,457042,455849,454659
Mauritania,4383853,4498604,4614974,4736139,4862989,4993922,5128141,5264526,5403200,5543997,5686445,5830563,5976298,6123818,6273096,6424061,6576462,6729985,6884282,7038820,7193387,7348229,7503613,7659504,7816017,7972905,8129917,8286960,8443897,8600535,8757322,8914673,9080490,9249391,9421434,9596677,9775179,9957002,10142206,10330856,10523014,10718747,10918121,11121203,11328062,11538769,11753395,11972013,12194698,12421525,12652571,12887914,13127635,13371815,13620537,13873885,14131945,14394806,14662555,14935285,15213088,15496059,15784292,16077887,16376943,16681561,16991846,17307902,17629836,17957759,18291781,18632017,18978580,19331590,19691167,20057431,20430508,20810525,21197610,21591895,21993513,22402603
Mauritius,1296284,1266014,1266334,1262523,1263939,1265199,1266284,1267075,1267592,1267891,1267823,1267403,1266603,1265464,1263944,1262097,1259872,1257282,1254359,1251096,1247453,1243459,1239085,1234335,1229239,1223842,1218125,1212143,1205996,1199676,1193210,1186505,1180280,1174088,1167928,1161801,1155706,1149643,1143611,1137611,1131643,1125706,1119800,1113925,1108081,1102268,1096485,1090733,1085010,1079318,1073655,1068023,1062419,1056846,1051301,1045785,1040299,1034841,1029412,1024011,1018639,1013295,1007979,1002691,997430,992197,986992,981814,976663,971539,966442,961372,956328,951311,946320,941355,936416,931504,926617,921755,916919,912109
Mexico,125085312,125998302,126705138,127504125,128455567,129388467,130301391,131194049,132061171,132903856,133729252,134534107,135318243,136081567,136816372,137523732,138200922,138844304,139455296,140028842,140561518,141055171,141509850,141925337,142297951,142627834,142919109,143170995,143384384,143553921,143680430,143772364,143943625,144115091,144286760,144458634,144630713,144802997,144975486,145148180,145321081,145494187,145667499,145841018,146014743,146188676,146362815,146537162,146711717,146886480,147061451,147236630,147412018,147587615,147763421,147939436,148115661,148292097,148468742,148645597,148822664,148999941,149177429,149355129,149533041,149711164,149889500,150068048,150246808,150425782,150604969,150784369,150963983,151143811,151323853,151504110,151684581,151865268,152046169,152227286,152408619,152590168
Micronesia (country),111392,112106,113131,114164,115224,116300,117389,118472,119544,120617,121675,122704,123700,124662,125588,126475,127323,128139,128917,129650,130339,130984,131588,132154,132686,133179,133631,134048,134436,134800,135139,135457,135825,136194,136565,136936,137308,137681,138055,138431,138807,139184,139563,139942,140322,140704,141086,141470,141854,142240,142626,143014,143403,143792,144183,144575,144968,145362,145757,146153,146551,146949,147348,147749,148151,148553,148957,149362,149768,150175,150583,150992,151403,151814,152227,152641,153056,153472,153889,154307,154727,155147
Moldova,3109496,2635130,2595809,2538894,2411126,2316377,2249631,2219263,2203058,2193588,2183423,2172624,2161270,2149459,2137362,2125144,2112941,2100844,2088980,2077482,2066346,2055728,2045732,2036472,2027904,2020209,2013122,2006510,2000262,1994337,1988445,1982210,1976085,1969979,1963891,1957823,1951773,1945742,1939729,1933735,1927760,1921803,1915864,1909944,1904042,1898158,1892293,1886446,1880616,1874805,1869012,1863236,1857479,1851739,1846017,1840313,1834626,1828957,1823305,1817671,1812054,1806455,1800873,1795308,1789760,1784230,1778716,1773220,1767740,1762278,1756832,1751403,1745991,1740596,1735218,1729856,1724510,1719181,1713869,1708573,1703293,1698030
Mongolia,3232435,3294335,3347782,3398366,3447157,3493629,3537947,3580318,3620933,3660164,3698535,3736327,3773768,3811167,3848847,3887004,3925745,3965043,4004952,4045479,4086469,4127814,4169279,4210687,4251855,4292546,4332667,4372111,4410654,4448092,4484188,4518856,4557043,4595553,4634388,4673552,4713046,4752874,4793039,4833543,4874390,4915581,4957121,4999012,5041257,5083858,5126820,5170145,5213836,5257896,5302328,5347136,5392323,5437892,5483845,5530187,5576921,5624049,5671576,5719504,5767837,5816579,5865733,5915302,5965290,6015700,6066537,6117803,6169502,6221638,6274215,6327236,6380705,6434626,6489003,6543839,6599138,6654905,6711143,6767856,6825049,6882725
Montenegro,630403,621306,619211,617213,616791,616369,615893,615332,614640,613846,612933,611894,610730,609444,608035,606539,604944,603273,601526,599716,597852,595943,593997,591995,589993,587959,585896,583805,581676,579522,577352,575065,572923,570789,568663,566545,564434,562332,560237,558150,556071,554000,551936,549880,547832,545792,543759,541733,539715,537705,535702,533707,531719,529738,527765,525799,523840,521889,519945,518008,516079,514157,512241,510333,508432,506539,504652,502772,500899,499033,497175,495323,493478,491639,489808,487984,486166,484355,482551,480753,478963,477179
Morocco,36304408,36688772,37076584,37457971,37840044,38211459,38571289,38920171,39259527,39590353,39912385,40226395,40531718,40828386,41119588,41405880,41685255,41957986,42225957,42488389,42743296,42991078,43233124,43468863,43696563,43915467,44126016,44327743,44520762,44704401,44878690,45044990,45231069,45417916,45605536,45793930,45983103,46173057,46363796,46555322,46747640,46940753,47134663,47329374,47524889,47721212,47918347,48116295,48315061,48514649,48715061,48916300,49118371,49321277,49525021,49729607,49935037,50141317,50348448,50556435,50765282,50974991,51185566,51397011,51609330,51822526,52036602,52251563,52467412,52684152,52901788,53120323,53339761,53560105,53781359,54003528,54226614,54450621,54675554,54901417,55128212,55355944
Mozambique,30285602,31178239,32077072,32969518,33897354,34858402,35834558,36825701,37831124,38849522,39880166,40920707,41972677,43036239,44106698,45186202,46273717,47365952,48466889,49574698,50685124,51800400,52917300,54034719,55157639,56284548,57411685,58538611,59669022,60798387,61921656,63044497,64235715,65449441,66686100,67946125,69229959,70538051,71870858,73228849,74612499,76022293,77458725,78922298,80413525,81932929,83481041,85058405,86665573,88303108,89971584,91671586,93403710,95168561,96966759,98798934,100665728,102567794,104505800,106480424,108492358,110542308,112630991,114759140,116927500,119136830,121387906,123681515,126018462,128399565,130825659,133297594,135816235,138382466,140997186,143661310,146375773,149141525,151959535,154830792,157756300,160737086
Myanmar,53040212,53423198,53798084,54179306,54577997,54964694,55336783,55695986,56041605,56372008,56687802,56987625,57270951,57538458,57790976,58027255,58247490,58454929,58646780,58823107,58985810,59133816,59267283,59387605,59496666,59595599,59682760,59755787,59817137,59867490,59904146,59929399,59978849,60028340,60077871,60127444,60177057,60226712,60276407,60326143,60375921,60425739,60475598,60525499,60575441,60625424,60675448,60725514,60775621,60825769,60875959,60926190,60976462,61026776,61077131,61127528,61177967,61228447,61278969,61329533,61380138,61430785,61481474,61532204,61582977,61633791,61684648,61735546,61786486,61837469,61888493,61939559,61990668,62041819,62093012,62144247,62195525,62246845,62298207,62349611,62401058,62452548
Namibia,2446648,2489098,2530151,2567012,2604172,2645805,2690284,2734497,2778608,2822568,2866354,2910056,2953517,2996909,3040441,3084032,3127696,3171395,3215247,3259286,3303227,3347189,3391106,3434985,3478878,3522542,3566040,3609486,3652704,3695526,3737961,3779918,3824209,3869019,3914354,3960220,4006624,4053571,4101068,4149122,4197739,4246926,4296689,4347035,4397972,4449504,4501641,4554389,4607755,4661746,4716369,4771633,4827544,4884111,4941340,4999240,5057818,5117083,5177042,5237704,5299076,5361168,5423987,5487542,5551842,5616895,5682711,5749298,5816665,5884821,5953776,6023539,6094119,6165527,6237771,6310862,6384809,6459622,6535313,6611890,6689364,6767746
Nepal,28832500,29348627,30034989,30547580,30896590,31240315,31577361,31907071,32228530,32540486,32842036,33133395,33414586,33686387,33948886,34202471,34448817,34687232,34918056,35141522,35357736,35568802,35775609,35977813,36176020,36369545,36557101,36738417,36914245,37084465,37247004,37401365,37572543,37744505,37917254,38090793,38265127,38440258,38616191,38792930,38970477,39148837,39328013,39508009,39688829,39870476,40052955,40236269,40420422,40605418,40791261,40977954,41165501,41353907,41543176,41733310,41924315,42116194,42308951,42502590,42697115,42892531,43088841,43286050,43484161,43683179,43883108,44083952,44285715,44488402,44692016,44896562,45102044,45308467,45515834,45724151,45933421,46143648,46354838,46566995,46780122,46994225
Netherlands,17363260,17441500,17533044,17700982,17748150,17793202,17836264,17876776,17915264,17950716,17982604,18011570,18037128,18059610,18078530,18094768,18106964,18116176,18121818,18123974,18123404,18118790,18110386,18099082,18083666,18064580,18043286,18019168,17992464,17963884,17933938,17901108,17872807,17844551,17816340,17788173,17760050,17731972,17703939,17675950,17648005,17620104,17592248,17564435,17536666,17508942,17481261,17453624,17426030,17398480,17370974,17343511,17316092,17288716,17261383,17234094,17206848,17179644,17152484,17125367,17098292,17071261,17044272,17017325,16990422,16963561,16936742,16909966,16883232,16856540,16829891,16803283,16776718,16750195,16723713,16697274,16670876,16644520,16618206,16591933,16565702,16539513
New Zealand,4959033,5090200,5111400,5124100,5163908,5202830,5240951,5278164,5313941,5348471,5381659,5413621,5444392,5473780,5501971,5528904,5554758,5579706,5603553,5626445,5648513,5669786,5690188,5709749,5728514,5746474,5763683,5780111,5795887,5810748,5825113,5838436,5853503,5868608,5883752,5898936,5914159,5929420,5944722,5960063,5975443,5990863,6006323,6021823,6037363,6052942,6068563,6084223,6099924,6115665,6131447,6147270,6163133,6179038,6194983,6210970,6226998,6243067,6259178,6275330,6291524,6307760,6324037,6340357,6356719,6373123,6389569,6406058,6422589,6439163,6455780,6472440,6489142,6505888,6522677,6539509,6556385,6573304,6590267,6607274,6624325,6641419
