Countries,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Brunei,438058,441725,445373,449002,452524,455858,459045,462103,465048,467894,470649,473312,475868,478322,480655,482853,484918,486844,488611,490225,491692,493006,494191,495249,496172,496951,497572,498039,498353,498521,498529,498373,498533,498694,498854,499015,499175,499336,499497,499657,499818,499979,500140,500301,500462,500623,500784,500945,501106,501267,501429,501590,501751,501913,502074,502236,502397,502559,502721,502882,503044,503206,503368,503530,503692,503854,504016,504178,504341,504503,504665,504828,504990,505153,505315,505478,505640,505803,505966,506129,506291,506454
Bulgaria,7052536,6934015,6877743,6465097,6386070,6333999,6281283,6227986,6173938,6119286,6064044,6008457,5952631,5896605,5840515,5784523,5728725,5673187,5618137,5563479,5509226,5455451,5402145,5349343,5297045,5245361,5194213,5143373,5092843,5042480,4992078,4940498,4891262,4842517,4794257,4746478,4699176,4652345,4605980,4560078,4514633,4469641,4425098,4380998,4337338,4294113,4251319,4208951,4167005,4125478,4084364,4043660,4003362,3963465,3923966,3884860,3846144,3807815,3769867,3732297,3695101,3658277,3621819,3585725,3549990,3514612,3479586,3444909,3410578,3376588,3342938,3309623,3276640,3243985,3211657,3179650,3147962,3116590,3085531,3054781,3024338,2994198
Burkina Faso,20951638,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733,34710916,35368933,36023133,36675188,37324984,37971748,38617149,39262199,39903786,40541548,41217388,41904495,42603055,43313261,44035307,44769389,45515708,46274469,47045878,47830148,48627491,49438126,50262275,51100162,51952018,52818074,53698567,54593739,55503833,56429099,57369789,58326161,59298476,60287000,61292003,62313759,63352549,64408655,65482367,66573978,67683787,68812096,69959215,71125457,72311140,73516589,74742133,75988107,77254852,78542714,79852045,81183203,82536552,83912462,85311308,86733474,88179347,89649324,91143806,92663201
Burundi,11874838,12220227,12551213,12889576,13238559,13591657,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,20361593,20794876,21227305,21659444,22090717,22521094,22949637,23374034,23793823,24208671,24656031,25111659,25575706,26048328,26529684,27019936,27519247,28027784,28545719,29073226,29610480,30157662,30714956,31282549,31860630,32449394,33049037,33659762,34281772,34915277,35560489,36217623,36886901,37568547,38262790,38969861,39689999,40423444,41170443,41931246,42706108,43495289,44299054,45117671,45951416,46800569,47665413,48546238,49443341,50357022,51287587,52235348,53200623,54183736,55185016,56204799,57243427,58301249,59378618,60475896
Cambodia,16207746,16396860,16589023,16767842,16944826,17121847,17293532,17460074,17621659,17779074,17933485,18084248,18231391,18375249,18515538,18652904,18787213,18917434,19043897,19166243,19283610,19396431,19504774,19608512,19707547,19801361,19889964,19973587,20052513,20126275,20194550,20258435,20332944,20407728,20482786,20558121,20633732,20709622,20785790,20862239,20938969,21015982,21093277,21170857,21248722,21326874,21405313,21484040,21563057,21642365,21721964,21801856,21882042,21962523,22043300,22124374,22205746,22287417,22369389,22451663,22534238,22617118,22700302,22783793,22867590,22951696,23036111,23120836,23205873,23291223,23376887,23462866,23549161,23635773,23722704,23809955,23897526,23985420,24073637,24162178,24251045,24340239
Cameroon,25782342,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051103,34852730,35661603,36480529,37308723,38142789,38983916,39833668,40690719,41554156,42424031,43298306,44174768,45054826,45938571,46825263,47716029,48606952,49497461,50390181,51279560,52220028,53177745,54153026,55146194,56157576,57187507,58236328,59304383,60392027,61499618,62627523,63776113,64945768,66136875,67349827,68585024,69842875,71123795,72428207,73756542,75109239,76486744,77889513,79318008,80772703,82254076,83762617,85298826,86863208,88456282,90078572,91730615,93412956,95126152,96870768,98647380,100456576,102298951,104175117,106085691,108031305,110012601,112030235,114084872,116177191,118307884,120477653,122687216,124937302,127228656
Canada,37522584,38007166,38226498,38929902,39244168,39555364,39865544,40170912,40469936,40766964,41058432,41352656,41643364,41927416,42205200,42474904,42737208,42992704,43243872,43487048,43724772,43955456,44173296,44384300,44589632,44790984,44989292,45184728,45377720,45568512,45759588,45946328,46140165,46334819,46530294,46726594,46923723,47121682,47320478,47520111,47720587,47921909,48124080,48327104,48530984,48735725,48941329,49147801,49355143,49563361,49772457,49982435,50193299,50405052,50617699,50831243,51045688,51261037,51477295,51694465,51912552,52131558,52351489,52572347,52794137,53016863,53240528,53465137,53690694,53917202,54144666,54373089,54602476,54832831,55064157,55296460,55529742,55764009,55999264,56235511,56472755,56711000
Cape Verde,577037,582640,587925,593149,598682,604461,610209,615948,621716,627467,633178,638840,644431,649957,655419,660774,666035,671179,676185,681044,685740,690288,694697,698960,703079,707058,710870,714525,718032,721360,724501,727457,730821,734200,737594,741005,744431,747873,751331,754805,758295,761801,765323,768862,772417,775989,779577,783181,786802,790440,794095,797767,801455,805161,808884,812624,816381,820156,823948,827758,831585,835430,839293,843174,847072,850989,854924,858877,862848,866837,870845,874872,878917,882981,887064,891165,895286,899425,903584,907762,911959,916176
Central African Republic,5209329,5343020,5457154,5579144,5742315,5915627,6097449,6286949,6483409,6685708,6892981,7104274,7318809,7535935,7755423,7977059,8200171,8423550,8646900,8870492,9093368,9316419,9540435,9763939,9986569,10208909,10430913,10652537,10873819,11094632,11314636,11533423,11767532,12006394,12250104,12498760,12752464,13011318,13275426,13544895,13819834,14100354,14386568,14678591,14976542,15280541,15590711,15907176,16230065,16559509,16895639,17238593,17588508,17945525,18309789,18681448,19060650,19447550,19842303,20245068,20656010,21075292,21503086,21939563,22384899,22839275,23302875,23775884,24258495,24750903,25253305,25765905,26288910,26822531,27366984,27922488,28489268,29067553,29657576,30259576,30873795,31500482
Chad,16126868,16644701,17179740,17723315,18278568,18847148,19425960,20013209,20610497,21217718,21833626,22460393,23097491,23742563,24395658,25057645,25729890,26409296,27095478,27791218,28494382,29202529,29916883,30634772,31353517,32075501,32800555,33528227,34258637,34991776,35722806,36452035,37229731,38024019,38835252,39663793,40510011,41374283,42256994,43158537,44079315,45019737,45980223,46961200,47963106,48986388,50031502,51098912,52189096,53302538,54439736,55601195,56787434,57998980,59236375,60500170,61790927,63109222,64455643,65830789,67235274,68669723,70134776,71631085,73159318,74720155,76314293,77942441,79605325,81303686,83038281,84809884,86619283,88467286,90354715,92282412,94251236,96262065,98315794,100413339,102555634,104743635
